Date,Open,High,Low,Close,Volume,Adj Close
2016-02-02,16420.210938,16420.210938,16108.44043,16153.540039,126210000,16153.540039
2016-02-01,16453.630859,16510.980469,16299.469727,16449.179688,114450000,16449.179688
2016-01-29,16090.259766,16466.300781,16090.259766,16466.300781,217940000,16466.300781
2016-01-28,15960.280273,16102.139648,15863.719727,16069.639648,130120000,16069.639648
2016-01-27,16168.740234,16235.030273,15878.299805,15944.459961,138350000,15944.459961
2016-01-26,15893.160156,16185.790039,15893.160156,16167.230469,118210000,16167.230469
2016-01-25,16086.459961,16086.459961,15880.150391,15885.219727,123250000,15885.219727
2016-01-22,15921.099609,16136.790039,15921.099609,16093.509766,145850000,16093.509766
2016-01-21,15768.870117,16038.589844,15704.660156,15882.679688,145140000,15882.679688
2016-01-20,15989.450195,15989.450195,15450.55957,15766.740234,191870000,15766.740234
2016-01-19,16009.450195,16171.959961,15900.25,16016.019531,144360000,16016.019531
2016-01-15,16354.330078,16354.330078,15842.110352,15988.080078,239210000,15988.080078
2016-01-14,16159.009766,16482.050781,16075.120117,16379.049805,158830000,16379.049805
2016-01-13,16526.630859,16593.509766,16123.200195,16151.410156,153530000,16151.410156
2016-01-12,16419.109375,16591.349609,16322.070312,16516.220703,117480000,16516.220703
2016-01-11,16358.709961,16461.849609,16232.030273,16398.570312,127790000,16398.570312
2016-01-08,16519.169922,16651.890625,16314.570312,16346.450195,141850000,16346.450195
2016-01-07,16888.359375,16888.359375,16463.630859,16514.099609,176240000,16514.099609
2016-01-06,17154.830078,17154.830078,16817.619141,16906.509766,120250000,16906.509766
2016-01-05,17147.50,17195.839844,17038.609375,17158.660156,105750000,17158.660156
2016-01-04,17405.480469,17405.480469,16957.630859,17148.939453,148060000,17148.939453
2015-12-31,17590.660156,17590.660156,17421.160156,17425.029297,93690000,17425.029297
2015-12-30,17711.939453,17714.130859,17588.869141,17603.869141,59760000,17603.869141
2015-12-29,17547.369141,17750.019531,17547.369141,17720.980469,69860000,17720.980469
2015-12-28,17535.660156,17536.900391,17437.339844,17528.269531,59770000,17528.269531
2015-12-24,17593.259766,17606.339844,17543.949219,17552.169922,40350000,17552.169922
2015-12-23,17427.630859,17607.919922,17427.630859,17602.609375,92820000,17602.609375
2015-12-22,17253.550781,17451.109375,17242.859375,17417.269531,91570000,17417.269531
2015-12-21,17154.939453,17272.359375,17116.730469,17251.619141,114910000,17251.619141
2015-12-18,17495.039062,17496.580078,17124.310547,17128.550781,344560000,17128.550781
